RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,34.694,4,3.6637,0.27609,0.0,0,DCTCP
0.4,ABM,35.428,32,4.1215,1.8734,0.0,0,DCTCP
0.6,ABM,36.135,256,4.7296,3.0905,0.083281,0,DCTCP
0.8,ABM,36.971,302936,15.846,13.883,0.083281,1178,DCTCP
0.2,ABM,19.449,0,3.6969,0.34063,1.8322,0,TCPCubic
0.4,ABM,19.57,28,4.1331,1.8914,0.74953,0,TCPCubic
0.6,ABM,19.774,380,4.7421,3.1291,1.9988,0,TCPCubic
0.8,ABM,20.719,326140,16.547,13.986,1.9714,1599,TCPCubic
0.2,DT,30.66,0,3.6957,0.28297,0.0,0,DCTCP
0.4,DT,26.553,0,4.1669,1.8872,0.0,0,DCTCP
0.6,DT,23.141,0,4.7119,3.155,4.1641,0,DCTCP
0.8,DT,25.419,4,14.926,14.413,3.1647,0,DCTCP
0.2,DT,14.114,0,3.6492,0.34063,0.91609,0,TCPCubic
0.4,DT,11.456,0,4.1324,1.8941,0.16656,0,TCPCubic
0.6,DT,9.0068,0,4.7233,3.1386,0.54391,0,TCPCubic
0.8,DT,9.1594,0,14.518,14.249,0.33313,0,TCPCubic
0.2,Reverie,25.503,0,3.6967,0.28297,3.4978,0,DCTCP
0.4,Reverie,24.832,0,4.1354,1.8819,0.083281,0,DCTCP
0.6,Reverie,24.929,0,4.7201,3.1184,3.4145,0,DCTCP
0.8,Reverie,26.627,120,14.584,14.171,1.9155,0,DCTCP
0.2,Reverie,16.349,0,3.7531,0.34063,4.1641,0,TCPCubic
0.4,Reverie,15.38,0,4.2266,1.8987,1.4993,0,TCPCubic
0.6,Reverie,15.093,0,4.7695,3.1248,3.6644,0,TCPCubic
0.8,Reverie,14.666,184,14.504,14.224,2.7483,0,TCPCubic
