RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,2.0359,1372,6.4152,2.2735,0,0,DCTCP
1000000,ABM,2.0436,1420,6.4433,2.3844,0,0,DCTCP
1500000,ABM,2.0506,1412,6.4876,2.3844,0,0,DCTCP
2500000,ABM,2.0653,1392,6.5704,2.4023,0,0,DCTCP
500000,ABM,2.0341,1356,6.4044,2.2966,0,0,TCPCubic
1000000,ABM,2.0394,1400,6.4236,2.3844,0,0,TCPCubic
1500000,ABM,2.0484,1404,6.5314,2.3844,0,0,TCPCubic
2500000,ABM,2.0655,1436,6.6651,2.3955,0,0,TCPCubic
500000,DT,2.0359,0,6.4246,2.2759,0,0,DCTCP
1000000,DT,2.0425,0,6.4774,2.3844,0,0,DCTCP
1500000,DT,2.0505,0,6.5327,2.3844,0,0,DCTCP
2500000,DT,2.0673,0,6.667,2.3844,0,0,DCTCP
500000,DT,2.0353,0,6.3917,2.2975,0,0,TCPCubic
1000000,DT,2.0401,0,6.4308,2.3844,0,0,TCPCubic
1500000,DT,2.0506,0,6.4351,2.3844,0,0,TCPCubic
2500000,DT,2.0615,0,6.6099,2.3844,0,0,TCPCubic
500000,Reverie,2.0364,0,6.4089,2.2966,0,0,DCTCP
1000000,Reverie,2.0436,0,6.4445,2.3844,0,0,DCTCP
1500000,Reverie,2.0535,0,6.4824,2.3844,0,0,DCTCP
2500000,Reverie,2.0683,0,6.6587,2.3886,0,0,DCTCP
500000,Reverie,2.0355,0,6.4153,2.2992,0,0,TCPCubic
1000000,Reverie,2.0419,0,6.5111,2.3795,0,0,TCPCubic
1500000,Reverie,2.0507,0,6.4726,2.3851,0,0,TCPCubic
2500000,Reverie,2.0643,0,6.6697,2.3907,0,0,TCPCubic
