TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,10.78,19732,6.112,6.55,10.327,0,DCTCP
0.4,ABM,9.7898,22188,5.2022,6.9623,13.741,0,DCTCP
0.6,ABM,9.2188,23328,5.4571,6.9594,16.406,0,DCTCP
0.8,ABM,9.0348,30588,5.3607,9.17,19.155,0,DCTCP
0.2,ABM,10.634,20448,8.2783,6.6713,25.484,0,TCPCubic
0.4,ABM,9.6352,23336,8.0722,6.8822,26.4,0,TCPCubic
0.6,ABM,9.377,37120,8.7689,7.9419,26.65,0,TCPCubic
0.8,ABM,9.0939,53664,8.2947,9.4975,27.233,0,TCPCubic
0.2,DT,14.249,8564,5.703,10.398,10.493,0,DCTCP
0.4,DT,14.187,7708,5.2554,7.86,13.741,0,DCTCP
0.6,DT,14.067,6540,5.5787,8.1922,16.49,0,DCTCP
0.8,DT,13.953,8152,5.5485,10.971,19.345,0,DCTCP
0.2,DT,14.235,10352,14.834,11.217,28.399,0,TCPCubic
0.4,DT,13.97,10704,21.048,8.5969,33.048,0,TCPCubic
0.6,DT,13.702,16256,33.786,10.726,35.728,0,TCPCubic
0.8,DT,12.931,23428,58.06,10.48,37.06,0,TCPCubic
0.2,Reverie,14.393,7216,5.4288,11.381,9.7439,0,DCTCP
0.4,Reverie,14.337,6888,5.3218,8.3513,13.492,0,DCTCP
0.6,Reverie,14.359,5916,5.6226,7.86,16.323,0,DCTCP
0.8,Reverie,14.632,6600,5.4389,11.544,19.321,0,DCTCP
0.2,Reverie,14.234,7564,9.6002,11.544,33.396,0,TCPCubic
0.4,Reverie,14.255,7752,10.441,9.3338,36.227,0,TCPCubic
0.6,Reverie,14.276,10000,11.099,10.071,37.276,0,TCPCubic
0.8,Reverie,14.499,11940,10.497,11.857,38.809,0,TCPCubic
