RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,6.9036,96,8.5208,0.40937,24.61,0,FullTopology
1000000,ABM,10.12,46400,8.5435,8.6258,24.61,0,FullTopology
1500000,ABM,16.178,80985,8.6013,11.176,24.651,2096,FullTopology
2500000,ABM,17.809,133924,8.4544,12.652,24.651,7336,FullTopology
500000,ABM,5.7691,7876,8.1456,0.0,27.15,0,SmallTopology
1000000,ABM,8.5838,21752,7.9947,0.24047,27.066,0,SmallTopology
1500000,ABM,9.0974,37952,8.1689,5.4903,27.15,0,SmallTopology
2500000,ABM,9.4685,69912,8.1268,11.544,27.15,2096,SmallTopology
500000,DT,6.8093,0,47.452,0.48818,42.915,0,FullTopology
1000000,DT,9.4926,6436,47.872,10.492,42.964,0,FullTopology
1500000,DT,12.26,43160,47.666,20.386,42.848,0,FullTopology
2500000,DT,22.448,87632,45.713,27.704,42.848,0,FullTopology
500000,DT,5.7654,344,58.222,0.0,37.017,0,SmallTopology
1000000,DT,11.399,14576,54.181,0.12234,36.977,0,SmallTopology
1500000,DT,13.791,21568,55.568,3.8519,37.06,0,SmallTopology
2500000,DT,13.37,36136,60.496,20.602,36.977,0,SmallTopology
500000,Reverie,6.8027,0,11.273,0.34974,36.061,0,FullTopology
1000000,Reverie,9.5053,60,11.392,10.516,35.894,0,FullTopology
1500000,Reverie,11.091,7756,11.268,20.833,35.936,0,FullTopology
2500000,Reverie,17.588,60648,11.408,39.668,36.202,0,FullTopology
500000,Reverie,5.757,28,10.41,0.0,38.809,0,SmallTopology
1000000,Reverie,10.361,7708,10.767,0.15188,39.059,0,SmallTopology
1500000,Reverie,14.77,12700,10.535,4.0938,38.892,0,SmallTopology
2500000,Reverie,14.218,15916,10.68,23.135,38.809,0,SmallTopology
