TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
12500,ABM,0.66739,280564,3.7097,11.12,0.0,0.0,FullTopology
500000,ABM,6.1656,438460,3.9529,12.084,0.0,0.0,FullTopology
1000000,ABM,8.7798,543464,4.1595,12.492,10.778,1090.0,FullTopology
2000000,ABM,29.804,677156,4.4886,12.85,25.567,2268.0,FullTopology
12500,ABM,0.7485,297776,15.548,13.92,0.0,1178.0,SmallTopology
500000,ABM,4.8921,284980,15.353,13.844,0.0,1178.0,SmallTopology
1000000,ABM,25.137,301444,16.075,13.866,0.0,1178.4,SmallTopology
2000000,ABM,18.24,313496,16.364,13.892,4.747,1354.0,SmallTopology
12500,DT,0.66776,0,3.6148,10.874,0.0,0.0,FullTopology
500000,DT,6.1659,0,3.9208,12.136,0.0,0.0,FullTopology
1000000,DT,8.9034,148,4.1354,12.556,10.761,0.0,FullTopology
2000000,DT,13.795,2724,4.5582,13.133,20.237,0.0,FullTopology
12500,DT,0.74883,0,13.58,14.053,0.0,0.0,SmallTopology
500000,DT,8.1042,0,13.977,14.156,0.0,0.0,SmallTopology
1000000,DT,14.472,0,14.275,14.253,0.0,0.0,SmallTopology
2000000,DT,7.5495,64,14.94,14.167,3.8309,0.0,SmallTopology
12500,Reverie,0.66776,0,3.6148,10.874,0.0,0.0,FullTopology
500000,Reverie,6.1659,0,3.9208,12.136,0.0,0.0,FullTopology
1000000,Reverie,8.6783,24,4.1439,12.633,10.785,0.0,FullTopology
2000000,Reverie,23.999,10912,4.5886,13.222,31.23,0.0,FullTopology
12500,Reverie,0.74856,0,13.998,14.104,0.0,0.0,SmallTopology
500000,Reverie,4.892,0,14.099,14.252,0.0,0.0,SmallTopology
1000000,Reverie,18.285,60,14.009,14.193,0.0,0.0,SmallTopology
2000000,Reverie,12.908,152,14.61,14.209,6.1628,0.0,SmallTopology
