TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.74935,0,13.345,14.196,0,0
12500,ABM,0.74856,4892,13.844,14.083,0,0
12500,Reverie,0.74836,0,13.35,14.042,0,0
500000,DT,4.8918,0,14.044,14.153,0,0
500000,ABM,4.904,6924,14.212,14.175,0,0
500000,Reverie,4.9019,0,13.788,14.108,0,0
1000000,DT,6.1869,0,14.089,14.215,0,0
1000000,ABM,17.995,8392,13.867,14.205,0,0
1000000,Reverie,6.1312,0,14.345,14.18,0,0
2000000,DT,12.117,0,15.028,14.345,10.16,0
2000000,ABM,10.462,10076,15.004,14.182,5.8297,0
2000000,Reverie,11.364,0,14.825,14.374,24.818,0
