Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,14.461,344,8.7046,14.001,19.238,0
0.2,ABM,10.174,40488,4.9623,10.316,15.907,0
0.2,Reverie,14.395,108,5.6811,14.164,19.488,0
0.4,DT,14.477,284,5.6381,14.165,19.571,0
0.4,ABM,10.059,41328,5.4955,10.152,19.587,0
0.4,Reverie,14.395,108,5.6811,14.164,19.488,0
0.6,DT,14.477,284,5.6381,14.165,19.571,0
0.6,ABM,10.248,41804,5.6386,10.48,19.571,0
0.6,Reverie,14.395,108,5.6811,14.164,19.488,0
0.8,DT,14.303,16,5.5593,10.819,19.321,0
0.8,ABM,9.696,19420,5.4772,9.0062,19.321,0
0.8,Reverie,14.299,0,5.5713,10.644,19.392,0
