TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,2.1066,25809,12.152,43.557,23.243,0
0.2,ABM,1.9572,64393,10.757,16.866,23.36,0
0.2,Reverie,1.9991,12977,12.029,44.458,26.858,0
0.4,DT,3.5411,46397,18.661,49.125,27.899,0
0.4,ABM,3.0101,83961,14.287,21.738,27.983,0
0.4,Reverie,3.1902,24325,16.161,50.23,33.146,0
0.6,DT,5.4112,51757,27.062,50.967,29.664,0
0.6,ABM,4.5268,91569,18.021,24.931,29.815,0
0.6,Reverie,4.8307,28053,19.595,52.564,36.894,0
0.8,DT,11.147,49409,79.282,47.499,30.16,0
0.8,ABM,10.732,93477,69.098,27.142,30.189,1048
0.8,Reverie,10.609,32381,57.547,47.938,38.684,0
