TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,10.387,3965,5.6689,32.504,7.1622,0
0.2,ABM,20.498,84157,5.3248,13.059,7.1205,2096
0.2,Reverie,10.338,1825,5.7713,32.504,7.1293,0
0.4,DT,11.194,7273,5.5234,30.908,10.119,0
0.4,ABM,19.379,97741,5.3986,12.854,10.16,4192
0.4,Reverie,11.106,2037,5.4156,30.99,10.083,0
0.6,DT,12.125,17861,5.7403,30.703,12.742,0
0.6,ABM,18.348,107585,5.5002,12.523,12.659,6288
0.6,Reverie,11.793,4481,5.7511,30.744,12.575,0
0.8,DT,13.72,37873,5.7609,31.317,16.032,0
0.8,ABM,18.462,112017,5.4189,12.527,15.907,5240
0.8,Reverie,12.618,19437,5.6031,31.849,15.63,0
