TCP Burst Size,Algorithm,Short FCT Avg,PFC Pauses,RDMA Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
12500,DT,0.74817,0,13.4653,6.92943,0
12500,ABM,0.747588,5092,13.3628,6.90659,0
12500,Reverie,0.748509,0,13.619,6.92115,0
500000,DT,4.89259,0,13.9619,6.94575,0
500000,ABM,4.90143,6840,13.8995,6.9328,0
500000,Reverie,4.90327,0,13.9306,6.9787,0
1000000,DT,6.19882,0,14.3981,6.98284,0
1000000,ABM,21.3266,7932,14.1613,6.94444,0
1000000,Reverie,6.13501,0,14.1988,6.98544,0
1500000,DT,19.9546,0,14.7399,6.95303,3.26743
1500000,ABM,26.1671,9524,14.3841,6.96651,1.10529
1500000,Reverie,7.03977,0,14.907,6.98284,5.72054
